Month,steel,oil,corn,grain,gasoline,lumber,wood,rubber,Hydrogen,Oxygen,Bauxite,Iron,Magnesium,Manganese,Cobalt,Nickle,Silver
january,950.4,703.3,466.5,1710.5,353.4,76.6,1379.8,185.4,435,1042.6,492.1,576.1,3394.1,615.5,1104.7,465.6,153.9
february,987,721.3,450.8,1590.6,250.6,87.3,1390.3,187.6,421.2,1350.9,650.3,640.3,3330.6,470.3,1400.3,369.2,250.3
march,1000.6,840.3,500.9,1874.6,420.7,120.3,1562.2,310.9,514.8,1200.3,654.3,630.1,3410.5,610.3,1154.3,485.9,176.3
april,1100.9,750.3,456.8,1750.2,342.3,71.3,1421.3,200.3,440.1,1010.1,521.3,590.9,3402.8,630.3,1153.8,470.7,134.3
may,1170.1,630.9,455.3,1749.3,393.1,87.9,1298.3,125.9,390.8,1450.7,482,459.3,3351.9,633.3,1189.3,423.7,123.9
june,960.3,754.7,456.3,1789.4,451.9,45.3,1321.8,198.2,489.3,1200,602.8,709.4,3321.1,652.8,1198.3,461.2,141.1
july,1233.6,652.9,412.3,1652.9,298.1,45.3,1397.8,164.7,412.2,1056.3,521.9,589.7,3365.1,651.9,1198.3,489.1,178.6
august,970.8,741.9,485.2,1752.3,363.2,79.6,1423.9,147.1,456.3,1078.5,562.7,603.3,3454.3,678.5,1209.3,487.6,145.8
september,873.2,456.3,706.3,1687.2,369.4,89.2,1789.9,156.6,455.5,1254.3,562.7,569.9,3364.6,652.5,1129.9,491.3,121.1
october,1024.8,586.6,561.5,1727.5,382.5,65.7,1293.5,210.2,378.3,1001.7,406.7,512.2,3412.3,654.2,1195.5,478.8,142.9
november,1024.2,565,576.3,1727.3,386.9,63.2,1321.1,145.3,401.9,1101.9,487.2,541.5,335.2,652.8,1162.9,470.2,163.9
december,1023.7,543.4,591,1727.1,391.4,60.7,13.6,147.9,410.2,1068.2,412.9,654.3,3356.1,600,1145.3,421.9,129.8
